District,Sub-County,Confirmed Cases,Confirmed Deaths,Recoveries,Probable Deaths,ID,SitRep,Date,Date_Entered,Collector
NA,Madudu,16,07,06,13,1-SitRep-20,10,2022-10-10,2022-10-27 09:47:10,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
NA,Eastern,07,01,02,00,2-SitRep-20,10,2022-10-10,2022-10-27 09:47:10,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
NA,Southern,02,00,00,00,3-SitRep-20,10,2022-10-10,2022-10-27 09:47:10,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
NA,Bayeza,01,01,00,01,4-SitRep-20,10,2022-10-10,2022-10-27 09:47:10,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
NA,Western,02,01,00,00,5-SitRep-20,10,2022-10-10,2022-10-27 09:47:10,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
NA,Kasambya,01,00,01,00,6-SitRep-20,10,2022-10-10,2022-10-27 09:47:10,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
NA,Kibalinga,01,01,00,00,7-SitRep-20,10,2022-10-10,2022-10-27 09:47:10,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
NA,Kiruuma,06,02,01,05,8-SitRep-20,10,2022-10-10,2022-10-27 09:47:10,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
NA,Kitenga,01,00,01,00,9-SitRep-20,10,2022-10-10,2022-10-27 09:47:10,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
NA,Kiyuni,03,02,00,00,10-SitRep-20,10,2022-10-10,2022-10-27 09:47:10,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Kyegegwa,Kasule,03,01,02,00,11-SitRep-20,10,2022-10-10,2022-10-27 09:47:10,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
NA,Kassanda,02,00,01,01,12-SitRep-20,10,2022-10-10,2022-10-27 09:47:10,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
NA,Kalwana,01,00,00,00,13-SitRep-20,10,2022-10-10,2022-10-27 09:47:10,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Kagadi,Kagadi TC,01,01,00,00,14-SitRep-20,10,2022-10-10,2022-10-27 09:47:10,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Bunyangabu,Rwimi TC,01,00,00,00,15-SitRep-20,10,2022-10-10,2022-10-27 09:47:10,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
