District,Sub-County,Confirmed Cases,Confirmed Deaths,Recoveries,Probable Deaths,SitRep,Date,Date_Entered,Collector
Mubende,Madudu,16,7,NA,13,22,2022-10-11,2022-10-27,SVS
Mubende,Eastern,7,1,NA,0,22,2022-10-11,2022-10-27,SVS
Mubende,Southern,6,1,NA,0,22,2022-10-11,2022-10-27,SVS
Mubende,Bayeza,1,1,NA,1,22,2022-10-11,2022-10-27,SVS
Mubende,Western,2,1,NA,0,22,2022-10-11,2022-10-27,SVS
Mubende,Kasambya,3,0,NA,0,22,2022-10-11,2022-10-27,SVS
Mubende,Kibalinga,1,1,NA,0,22,2022-10-11,2022-10-27,SVS
Mubende,Kiruuma,6,3,NA,5,22,2022-10-11,2022-10-27,SVS
Mubende,Kitenga,1,0,NA,0,22,2022-10-11,2022-10-27,SVS
Mubende,Kiyuni,3,2,NA,0,22,2022-10-11,2022-10-27,SVS
Kyegegwa,Kasule,3,1,NA,0,22,2022-10-11,2022-10-27,SVS
Kassanda,Kassanda,2,0,NA,1,22,2022-10-11,2022-10-27,SVS
Kassanda,Kalwana,1,0,NA,0,22,2022-10-11,2022-10-27,SVS
Kagadi,Kagadi TC,1,1,NA,0,22,2022-10-11,2022-10-27,SVS
Bunyangabu,Rwimi TC,1,0,NA,0,22,2022-10-11,2022-10-27,SVS
