District,Sub-County,Confirmed Cases,Confirmed Deaths,Recoveries,Probable Deaths,Probably Cases,SitRep,Date,Date_Entered,Collector,DISTRICT,COUNTY,SUBCOUNTY
Bunyangabu,Rwimi TC,1,0,NA,NA,0,34,2022-10-24,2022-10-27,SVS,BUNYANGABU,BUNYANGABU,RWIMI
Kagadi,Kagadi TC,1,1,NA,NA,0,34,2022-10-24,2022-10-27,SVS,KAGADI,BUYAGA,KAGADI
Kassanda,,3,,NA,NA,,34,2022-10-24,2022-10-27,SVS,KASSANDA,,
Kassanda,Kalwana,1,0,NA,NA,0,34,2022-10-24,2022-10-27,SVS,KASSANDA,KASSANDA,KALWANA
Kassanda,Kassanda,2,0,NA,NA,1,34,2022-10-24,2022-10-27,SVS,KASSANDA,KASSANDA,KASSANDA
Kassanda,Kikandwa,5,2,NA,NA,0,34,2022-10-24,2022-10-27,SVS,MITYANA,MITYANA,KIKANDWA
Kassanda,Kiganda,1,0,NA,NA,0,34,2022-10-24,2022-10-27,SVS,KASSANDA,KASSANDA,KIGANDA
Kassanda,Gomba,1,0,NA,NA,0,34,2022-10-24,2022-10-27,SVS,GOMBA,GOMBA,NA
Kyegegwa,Kasule,3,1,NA,NA,0,34,2022-10-24,2022-10-27,SVS,KYEGEGWA,KYAKA,KASULE
Wakiso,Nanssana,1,0,NA,NA,0,34,2022-10-24,2022-10-27,SVS,WAKISO,NANSANA MUNICIPALITY,NANSANA DIVISION
Kampala,Rubaga,11,0,NA,NA,0,34,2022-10-24,2022-10-27,SVS,KAMPALA,KCCA,RUBAGA DIVISION
Kampala,Kawempe,2,0,NA,NA,0,34,2022-10-24,2022-10-27,SVS,KAMPALA,KCCA,KAWEMPE DIVISION
Kampala,Makindye,1,0,NA,NA,0,34,2022-10-24,2022-10-27,SVS,KAMPALA,KCCA,MAKINDYE DIVISION
Mubende,,2,,NA,NA,,34,2022-10-24,2022-10-27,SVS,MUBENDE,,
Mubende,Bagezza,2,1,NA,NA,0,34,2022-10-24,2022-10-27,SVS,MUBENDE,KASAMBYA,BAGEZZA
Mubende,Butologo,1,1,NA,NA,0,34,2022-10-24,2022-10-27,SVS,MUBENDE,BUWEKULA,BUTOLOOGO
Mubende,Eastern,8,1,NA,NA,0,34,2022-10-24,2022-10-27,SVS,MUBENDE,MUBENDE MUNICIPALITY,EASTERN DIVISION
Mubende,Western,2,2,NA,NA,0,34,2022-10-24,2022-10-27,SVS,MUBENDE,MUBENDE MUNICIPALITY,WESTERN DIVISION
Mubende,Southern,7,3,NA,NA,1,34,2022-10-24,2022-10-27,SVS,MUBENDE,MUBENDE MUNICIPALITY,SOUTHERN DIVISION
Mubende,Kasambya,5,1,NA,NA,0,34,2022-10-24,2022-10-27,SVS,MUBENDE,KASAMBYA,KASAMBYA
Mubende,Kiruuma,9,4,NA,NA,5,34,2022-10-24,2022-10-27,SVS,MUBENDE,NA,KIRUUMA
Mubende,Kiyuni,3,3,NA,NA,0,34,2022-10-24,2022-10-27,SVS,MUBENDE,BUWEKULA,KIYUNI
Mubende,Madudu,21,7,NA,NA,13,34,2022-10-24,2022-10-27,SVS,MUBENDE,BUWEKULA,MADUDU
Mubende,Kibalinga,1,1,NA,NA,0,34,2022-10-24,2022-10-27,SVS,MUBENDE,KASAMBYA,KIBALINGA
Mubende,Kitenga,1,0,NA,NA,0,34,2022-10-24,2022-10-27,SVS,MUBENDE,BUWEKULA,KITENGA
