District,Sub-County,Confirmed Cases,Confirmed Deaths,Recoveries,Probable Deaths,Probable Cases,SitRep,Date,Date_Entered,Collector
Bunyangabu,Rwimi TC,1,0,NA,NA,0,36,2022-10-26,2022-10-28 08:57:17,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Kagadi,Kagadi TC,1,1,NA,NA,0,36,2022-10-26,2022-10-28 08:57:17,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Kampala,Kawempe,2,0,NA,NA,0,36,2022-10-26,2022-10-28 08:57:17,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Kampala,Makindye,1,0,NA,NA,0,36,2022-10-26,2022-10-28 08:57:17,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Kampala,Rubaga,14,1,NA,NA,0,36,2022-10-26,2022-10-28 08:57:17,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Kassanda,Gomba,1,0,NA,NA,0,36,2022-10-26,2022-10-28 08:57:17,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Kassanda,Kalwana,17,0,NA,NA,0,36,2022-10-26,2022-10-28 08:57:17,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Kassanda,Kassanda,5,0,NA,NA,2,36,2022-10-26,2022-10-28 08:57:17,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Kassanda,Kiganda,2,0,NA,NA,0,36,2022-10-26,2022-10-28 08:57:17,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Kassanda,Kikandwa,3,2,NA,NA,0,36,2022-10-26,2022-10-28 08:57:17,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Kyegegwa,Kasule,3,1,NA,NA,0,36,2022-10-26,2022-10-28 08:57:17,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Mubende,Bagezza,2,2,NA,NA,0,36,2022-10-26,2022-10-28 08:57:17,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Mubende,Butologo,1,1,NA,NA,0,36,2022-10-26,2022-10-28 08:57:17,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Mubende,Eastern,8,1,NA,NA,0,36,2022-10-26,2022-10-28 08:57:17,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Mubende,Southern,7,3,NA,NA,1,36,2022-10-26,2022-10-28 08:57:17,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Mubende,Western,3,1,NA,NA,0,36,2022-10-26,2022-10-28 08:57:17,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Mubende,Kasambya,5,1,NA,NA,0,36,2022-10-26,2022-10-28 08:57:17,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Mubende,Kiruuma,10,4,NA,NA,5,36,2022-10-26,2022-10-28 08:57:17,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Mubende,Kirwanyi,1,0,NA,NA,0,36,2022-10-26,2022-10-28 08:57:17,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Mubende,Kiyuni,3,3,NA,NA,0,36,2022-10-26,2022-10-28 08:57:17,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Mubende,Madudu,21,10,NA,NA,13,36,2022-10-26,2022-10-28 08:57:17,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Mubende,Kibalinga,1,1,NA,NA,0,36,2022-10-26,2022-10-28 08:57:17,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Mubende,Kitenga,1,0,NA,NA,0,36,2022-10-26,2022-10-28 08:57:17,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Wakiso,Busiro,1,0,NA,NA,0,36,2022-10-26,2022-10-28 08:57:17,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Wakiso,Nansana,1,0,NA,NA,0,36,2022-10-26,2022-10-28 08:57:17,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
