District,Sub.County,Confirmed.Cases,Confirmed.Deaths,Recoveries,Probable.Deaths,Probable.Cases,SitRep,Date,Date_Entered,Collector,DISTRICT,COUNTY,SUBCOUNTY
NA,Kawempe,2,0,0,NA,0,41,2022-11-1,2022-11-4,SVS,KAMPALA,KCCA,KAWEMPE DIVISION
Kampala,Makindye,1,0,0,NA,1,41,2022-11-1,2022-11-4,SVS,KAMPALA,KCCA,MAKINDYE DIVISION
NA,Rubaga,15,2,0,NA,3,41,2022-11-1,2022-11-4,SVS,KAMPALA,KCCA,RUBAGA DIVISION
NA,Gomba,1,1,0,NA,0,41,2022-11-1,2022-11-4,SVS,GOMBA,GOMBA,NA
NA,Kalwana,25,7,0,NA,1,41,2022-11-1,2022-11-4,SVS,KASSANDA,KASSANDA,KALWANA
Kassanda,Kassanda,5,0,2,NA,2,41,2022-11-1,2022-11-4,SVS,KASSANDA,KASSANDA,KASSANDA
NA,Kiganda,3,0,0,NA,1,41,2022-11-1,2022-11-4,SVS,KASSANDA,KASSANDA,KIGANDA
NA,Kikandwa,6,3,0,NA,0,41,2022-11-1,2022-11-4,SVS,MITYANA,MITYANA,KIKANDWA
Kyegegwa,Kasule,4,1,0,NA,2,41,2022-11-1,2022-11-4,SVS,KYEGEGWA,KYAKA,KASULE
NA,Bagezza,2,2,0,NA,2,41,2022-11-1,2022-11-4,SVS,MUBENDE,KASAMBYA,BAGEZZA
NA,Butologoa,1,1,0,NA,0,41,2022-11-1,2022-11-4,SVS,MUBENDE,BUWEKULA,BUTOLOOGO
Eastern,Eastern,9,1,0,NA,6,41,2022-11-1,2022-11-4,SVS,MUBENDE,MUBENDE MUNICIPALITY,EASTERN DIVISION
Southern,Southern,7,3,1,NA,4,41,2022-11-1,2022-11-4,SVS,MUBENDE,MUBENDE MUNICIPALITY,SOUTHERN DIVISION
Western,Western,3,1,0,NA,2,41,2022-11-1,2022-11-4,SVS,MUBENDE,MUBENDE MUNICIPALITY,WESTERN DIVISION
NA,Kasambya,5,2,0,NA,2,41,2022-11-1,2022-11-4,SVS,MUBENDE,KASAMBYA,KASAMBYA
NA,Kiruuma,10,4,5,NA,6,41,2022-11-1,2022-11-4,SVS,MUBENDE,NA,KIRUUMA
NA,Kirwanyi,2,0,0,NA,0,41,2022-11-1,2022-11-4,SVS,MUBENDE,NA,KIRWANYI
NA,Kiyuni,3,3,0,NA,0,41,2022-11-1,2022-11-4,SVS,MUBENDE,BUWEKULA,KIYUNI
NA,Madudu,21,10,13,NA,11,41,2022-11-1,2022-11-4,SVS,MUBENDE,BUWEKULA,MADUDU
NA,Kibalinga,1,1,0,NA,0,41,2022-11-1,2022-11-4,SVS,MUBENDE,KASAMBYA,KIBALINGA
NA,Kitenga,1,0,0,NA,1,41,2022-11-1,2022-11-4,SVS,MUBENDE,BUWEKULA,KITENGA
NA,Busiro,1,0,0,NA,0,41,2022-11-1,2022-11-4,SVS,WAKISO,BUSIRO,NA
NA,Nansana,1,0,0,NA,0,41,2022-11-1,2022-11-4,SVS,WAKISO,NANSANA MUNICIPALITY,NANSANA DIVISION
