District,Sub.County,Confirmed.Cases,Confirmed.Deaths,Recoveries,Probable.Deaths,Probable.Cases,SitRep,Date,Date_Entered,Collector,DISTRICT,COUNTY,SUBCOUNTY
NA,Kalwana,36,NA,NA,NA,NA,62,2022-11-26,2022-12-06,SVS,KASSANDA,KASSANDA,KALWANA
NA,Madudu,21,NA,NA,NA,NA,62,2022-11-26,2022-12-06,SVS,MUBENDE,BUWEKULA,MADUDU
NA,Rubaga,14,NA,NA,NA,NA,62,2022-11-26,2022-12-06,SVS,KAMPALA,KCCA,RUBAGA DIVISION
Eastern,Eastern,10,NA,NA,NA,NA,62,2022-11-26,2022-12-06,SVS,MUBENDE,MUBENDE MUNICIPALITY,EASTERN DIVISION
NA,Butologo,10,NA,NA,NA,NA,62,2022-11-26,2022-12-06,SVS,MUBENDE,BUWEKULA,BUTOLOOGO
NA,Kassanda,9,NA,NA,NA,NA,62,2022-11-26,2022-12-06,SVS,KASSANDA,KASSANDA,KASSANDA
Southern,Southern,8,NA,NA,NA,NA,62,2022-11-26,2022-12-06,SVS,MUBENDE,MUBENDE MUNICIPALITY,SOUTHERN DIVISION
NA,Kasambya,5,NA,NA,NA,NA,62,2022-11-26,2022-12-06,SVS,MUBENDE,KASAMBYA,KASAMBYA
Kyegegwa,Kasule,4,NA,NA,NA,NA,62,2022-11-26,2022-12-06,SVS,KYEGEGWA,KYAKA,KASULE
NA,Kiganda,3,NA,NA,NA,NA,62,2022-11-26,2022-12-06,SVS,KASSANDA,KASSANDA,KIGANDA
Western,Western,3,NA,NA,NA,NA,62,2022-11-26,2022-12-06,SVS,MUBENDE,MUBENDE MUNICIPALITY,WESTERN DIVISION
NA,Kiyuni,3,NA,NA,NA,NA,62,2022-11-26,2022-12-06,SVS,MUBENDE,BUWEKULA,KIYUNI
Kampala,Kawempe,2,NA,NA,NA,NA,62,2022-11-26,2022-12-06,SVS,KAMPALA,KCCA,KAWEMPE DIVISION
Mubende,Bagezza,2,NA,NA,NA,NA,62,2022-11-26,2022-12-06,SVS,MUBENDE,KASAMBYA,BAGEZZA
Jinja,Buyengo,2,NA,NA,NA,NA,62,2022-11-26,2022-12-06,SVS,JINJA,KAGOMA,BUYENGO
Wakiso,Wakiso,2,NA,NA,NA,NA,62,2022-11-26,2022-12-06,SVS,WAKISO,BUSIRO,WAKISO
Kagadi,Kagadi TC,1,NA,NA,NA,NA,62,2022-11-26,2022-12-06,SVS,KAGADI,BUYAGA,KAGADI
Bunyangabu,Rwimi TC,1,NA,NA,NA,NA,62,2022-11-26,2022-12-06,SVS,BUNYANGABU,BUNYANGABU,RWIMI
NA,Kibalinga,1,NA,NA,NA,NA,62,2022-11-26,2022-12-06,SVS,MUBENDE,KASAMBYA,KIBALINGA
NA,Kitenga,1,NA,NA,NA,NA,62,2022-11-26,2022-12-06,SVS,MUBENDE,BUWEKULA,KITENGA
NA,Nansana,1,NA,NA,NA,NA,62,2022-11-26,2022-12-06,SVS,WAKISO,NANSANA MUNICIPALITY,NANSANA DIVISION
NA,Makindye,1,NA,NA,NA,NA,62,2022-11-26,2022-12-06,SVS,KAMPALA,KCCA,MAKINDYE DIVISION
Masaka,Kimanya-Kyabakuza,1,NA,NA,NA,NA,62,2022-11-26,2022-12-06,SVS,MASAKA,MASAKA MUNICIPALITY,KIMAANYA-KYABAKUZA DIVISION
