District_sitrep,SubCounty_sitrep,DISTRICT,COUNTY,SUBCOUNTY
Bunyangabu,Rwimi TC,BUNYANGABU,BUNYANGABU,RWIMI
Kagadi,Kagadi TC,KAGADI,BUYAGA,KAGADI
Kampala,Kawempe,KAMPALA,KCCA,KAWEMPE DIVISION
Kampala,Makindye,KAMPALA,KCCA,MAKINDYE DIVISION
Kampala,Rubaga,KAMPALA,KCCA,RUBAGA DIVISION
Kampala,Gomba,GOMBA,GOMBA,NA
Kassanda,Kalwana,KASSANDA,KASSANDA,KALWANA
Kassanda,Kassanda,KASSANDA,KASSANDA,KASSANDA
Kassanda,Kiganda,KASSANDA,KASSANDA,KIGANDA
Kassanda,Kikandwa,MITYANA,MITYANA,KIKANDWA
Kyegegwa,Kasule,KYEGEGWA,KYAKA,KASULE
Mubende,Bayezza,MUBENDE,KASAMBYA,BAGEZZA
Mubende,Bagezza,MUBENDE,KASAMBYA,BAGEZZA
Mubende,Butologo,MUBENDE,BUWEKULA,BUTOLOOGO
Mubende,Butologoa,MUBENDE,BUWEKULA,BUTOLOOGO
Mubende,Eastern Division,MUBENDE,MUBENDE MUNICIPALITY,EASTERN DIVISION
Mubende,Southern Divisin,MUBENDE,MUBENDE MUNICIPALITY,SOUTHERN DIVISION
Mubende,Western Division,MUBENDE,MUBENDE MUNICIPALITY,WESTERN DIVISION
Mubende,Kasambya,MUBENDE,KASAMBYA,KASAMBYA
Mubende,Kiruuma,MUBENDE,NA,KIRUUMA
Mubende,Kirwanyi,MUBENDE,NA,KIRWANYI
Mubende,Kiyuni,MUBENDE,BUWEKULA,KIYUNI
Mubende,Madudu,MUBENDE,BUWEKULA,MADUDU
Mubende,Kibalinga,MUBENDE,KASAMBYA,KIBALINGA
Mubende,Kitenga,MUBENDE,BUWEKULA,KITENGA
Wakiso,Busiro,WAKISO,BUSIRO,NA
Wakiso,Nansana,WAKISO,NANSANA MUNICIPALITY,NANSANA DIVISION
Wakiso,Nanssana,WAKISO,NANSANA MUNICIPALITY,NANSANA DIVISION
